id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
177066,Male,25,1,21.0,1,< 1 Year,No,23816.0,152.0,61
163135,Male,23,1,35.0,0,< 1 Year,No,33591.0,152.0,279
375775,Female,25,1,47.0,1,< 1 Year,No,2630.0,152.0,270
371731,Female,25,1,36.0,1,< 1 Year,No,33218.0,152.0,210
126521,Male,24,1,13.0,0,< 1 Year,No,17911.0,152.0,139
217560,Male,31,1,25.0,1,< 1 Year,No,20009.0,152.0,66
130922,Female,29,1,36.0,1,< 1 Year,No,32610.0,152.0,297
131088,Male,34,1,7.0,1,1-2 Year,No,39962.0,124.0,81
35817,Male,26,1,8.0,1,< 1 Year,No,44740.0,152.0,293
320273,Male,25,1,28.0,1,< 1 Year,No,48404.0,152.0,156
115782,Female,44,1,46.0,1,1-2 Year,No,30719.0,26.0,280
17698,Female,25,1,35.0,1,< 1 Year,No,31559.0,152.0,120
28782,Female,29,1,33.0,1,< 1 Year,No,2630.0,152.0,84
400990,Female,42,1,8.0,1,1-2 Year,No,45117.0,152.0,120
165634,Female,27,1,28.0,1,< 1 Year,No,49052.0,152.0,26
152622,Female,23,1,46.0,1,< 1 Year,No,35982.0,152.0,15
478433,Female,25,1,24.0,1,< 1 Year,No,2630.0,152.0,132
330112,Male,21,1,10.0,1,< 1 Year,No,35108.0,152.0,202
196299,Female,49,1,28.0,1,1-2 Year,No,51854.0,26.0,268
131455,Female,29,1,8.0,1,< 1 Year,No,2630.0,152.0,37
162274,Male,20,1,8.0,1,< 1 Year,No,36446.0,160.0,221
64188,Female,53,1,7.0,0,1-2 Year,No,2630.0,124.0,299
405364,Female,21,1,33.0,1,< 1 Year,No,16651.0,152.0,213
323742,Male,22,1,18.0,1,1-2 Year,No,32675.0,124.0,294
76582,Female,21,1,26.0,0,< 1 Year,No,2630.0,152.0,278
25402,Male,21,1,6.0,1,< 1 Year,No,24597.0,152.0,35
33054,Female,34,1,29.0,0,1-2 Year,No,2630.0,157.0,54
83985,Male,43,1,8.0,0,1-2 Year,No,28719.0,7.0,111
370227,Female,24,1,8.0,1,< 1 Year,No,28675.0,152.0,87
376267,Female,35,1,33.0,1,1-2 Year,No,2630.0,152.0,175
52210,Female,72,1,29.0,1,1-2 Year,No,44493.0,124.0,149
302563,Female,43,1,15.0,1,1-2 Year,No,35158.0,124.0,150
78366,Male,59,1,8.0,1,1-2 Year,No,104195.0,7.0,205
491113,Male,24,1,29.0,1,< 1 Year,No,34364.0,152.0,270
337978,Male,51,1,28.0,1,1-2 Year,No,31982.0,26.0,76
228122,Female,41,1,28.0,0,1-2 Year,No,27974.0,26.0,177
22192,Female,24,1,47.0,0,< 1 Year,No,30753.0,151.0,289
174310,Male,27,1,27.0,1,< 1 Year,No,23779.0,152.0,212
127020,Male,22,1,8.0,1,< 1 Year,No,36679.0,152.0,251
167135,Female,23,1,29.0,1,< 1 Year,No,63391.0,152.0,193
5667,Female,23,1,15.0,1,< 1 Year,No,36491.0,152.0,115
464316,Female,24,1,3.0,1,< 1 Year,No,20214.0,152.0,264
102883,Female,24,1,14.0,1,< 1 Year,No,30454.0,152.0,181
313881,Male,34,1,2.0,1,1-2 Year,No,29545.0,29.0,47
365531,Female,31,1,38.0,1,< 1 Year,No,2630.0,1.0,233
105517,Male,23,1,46.0,1,< 1 Year,No,36540.0,152.0,37
238499,Male,49,1,28.0,1,1-2 Year,No,70404.0,124.0,228
167695,Female,23,1,3.0,1,< 1 Year,No,21787.0,152.0,251
360234,Male,24,1,12.0,1,< 1 Year,No,27858.0,152.0,29
227321,Female,27,1,11.0,1,< 1 Year,No,24601.0,152.0,113
255191,Male,24,1,28.0,0,< 1 Year,No,67434.0,152.0,261
145598,Male,48,1,33.0,1,1-2 Year,No,30161.0,124.0,42
87894,Female,25,1,8.0,0,< 1 Year,No,44899.0,152.0,219
437807,Male,21,1,29.0,1,< 1 Year,No,27887.0,152.0,19
54005,Female,21,1,18.0,0,< 1 Year,No,27769.0,152.0,187
411530,Female,63,1,28.0,1,1-2 Year,No,30301.0,26.0,140
143756,Female,29,1,30.0,0,< 1 Year,No,26510.0,152.0,132
72052,Male,51,1,28.0,1,1-2 Year,No,46323.0,157.0,150
10720,Male,75,1,12.0,1,1-2 Year,No,22910.0,124.0,16
203821,Male,20,1,8.0,0,< 1 Year,No,77071.0,160.0,171
17007,Female,27,1,50.0,1,< 1 Year,No,29169.0,152.0,170
470928,Male,63,0,9.0,0,1-2 Year,No,2630.0,124.0,218
319745,Male,53,1,28.0,1,1-2 Year,No,31531.0,26.0,221
48016,Male,34,1,28.0,1,1-2 Year,No,35296.0,154.0,161
340388,Male,24,1,32.0,1,< 1 Year,No,36734.0,152.0,287
264671,Female,23,1,41.0,1,< 1 Year,No,24453.0,152.0,137
323639,Female,20,1,37.0,0,< 1 Year,No,25006.0,160.0,47
421818,Male,58,1,45.0,1,1-2 Year,No,22891.0,124.0,147
203051,Male,28,1,41.0,1,< 1 Year,No,29748.0,152.0,189
495342,Female,25,1,28.0,1,< 1 Year,No,36064.0,152.0,34
225142,Female,22,1,45.0,1,< 1 Year,No,29517.0,152.0,126
32083,Male,31,1,15.0,1,< 1 Year,No,42841.0,152.0,122
52939,Female,38,1,50.0,1,1-2 Year,No,33263.0,120.0,91
433622,Female,51,1,41.0,1,1-2 Year,No,26924.0,12.0,68
24818,Female,47,1,49.0,1,1-2 Year,No,23626.0,124.0,276
436300,Male,53,1,28.0,1,1-2 Year,No,43828.0,26.0,105
180778,Male,25,1,37.0,1,< 1 Year,No,30922.0,152.0,144
66469,Female,68,1,28.0,1,1-2 Year,No,30925.0,26.0,173
97861,Male,25,1,50.0,1,< 1 Year,No,41130.0,152.0,211
187536,Male,51,1,20.0,1,1-2 Year,No,2630.0,26.0,219
363205,Male,23,1,30.0,1,< 1 Year,No,19994.0,152.0,109
388097,Male,22,1,46.0,1,< 1 Year,No,35915.0,152.0,85
422300,Male,66,1,29.0,1,1-2 Year,No,27423.0,152.0,68
131364,Female,28,1,47.0,1,< 1 Year,No,28226.0,152.0,87
30616,Male,46,1,48.0,1,1-2 Year,No,2630.0,15.0,185
30910,Female,31,1,12.0,1,< 1 Year,No,24537.0,152.0,283
23892,Female,25,1,28.0,1,< 1 Year,No,27403.0,152.0,54
127927,Male,43,1,0.0,1,1-2 Year,No,2630.0,26.0,45
194462,Female,32,1,28.0,1,< 1 Year,No,56773.0,152.0,50
166887,Male,25,1,29.0,1,< 1 Year,No,36840.0,152.0,134
